날짜,level,turnover,reason
2023-12-05,3489.7502025637777,0.0,
2023-12-06,3497.2766998295824,0.0,
2023-12-07,3514.040791017661,0.0,
2023-12-08,3577.7189038847773,0.0,
2023-12-11,3569.0499294976635,0.0,
2023-12-12,3596.5412581087758,0.0,
2023-12-13,3580.7787986709645,0.0,
2023-12-14,3648.1328593211633,0.0,
2023-12-15,3663.5871467591105,0.0,
2023-12-18,3656.9743983880876,0.2921876892159498,regular
2023-12-19,3667.4821702525464,0.0,
2023-12-20,3722.978768013328,0.2933035639080312,cap
2023-12-21,3736.867569091059,0.0,
2023-12-22,3739.997805282492,0.0,
2023-12-26,3733.119906000987,0.0,
2023-12-27,3834.3816791708773,0.0,
2023-12-28,3856.621300506322,0.0,
2024-01-02,3863.7934685557243,0.0,
2024-01-03,3743.7106285372383,0.010575489538326072,cap
2024-01-04,3723.092587568031,0.0,
2024-01-05,3728.932265924092,0.0,
2024-01-08,3698.9472409391374,0.0,
2024-01-09,3695.1303137700143,0.0,
2024-01-10,3635.434972171183,0.0,
2024-01-11,3664.3415124400535,0.0,
2024-01-12,3605.539844141756,0.0,
2024-01-15,3599.6292238471465,0.0,
2024-01-16,3486.91042787602,0.0,
2024-01-17,3444.653701898334,0.0,
2024-01-18,3583.13125094361,0.0,
2024-01-19,3709.733342476101,0.0,
2024-01-22,3728.0746907808953,0.0,
2024-01-23,3713.275561274146,0.0,
2024-01-24,3731.67293837913,0.0,
2024-01-25,3664.4332212722056,0.0,
2024-01-26,3661.290869707353,0.0,
2024-01-29,3691.445792969499,0.0,
2024-01-30,3700.8651820321893,0.0,
2024-01-31,3638.0875595473153,0.0,
2024-02-01,3607.1641218467503,0.0,
2024-02-02,3695.109546876412,0.003816678097351034,cap
2024-02-05,3644.1876965123706,0.0,
2024-02-06,3743.488032496381,0.0,
2024-02-07,3740.874005218252,0.0,
2024-02-08,4145.276194553644,0.0,
2024-02-13,4280.872021263877,0.0,
2024-02-14,4207.87605784592,0.0,
2024-02-15,4118.921922832791,0.0,
2024-02-16,4096.224609970985,0.0,
2024-02-19,4135.028679933479,0.0,
2024-02-20,4111.3173300693325,0.0,
2024-02-21,4040.7916691560085,0.0,
2024-02-22,4210.4398221297615,0.0,
2024-02-23,4197.990485841626,0.0,
2024-02-26,4280.874179772292,0.0,
2024-02-27,4313.146877167511,0.0,
2024-02-28,4509.853151393576,0.0,
2024-02-29,4386.7946324537115,0.0,
2024-03-04,4725.206117561822,0.0,
2024-03-05,4686.718489838916,0.08609627768660866,cap
2024-03-06,4751.199117984045,0.0,
