date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-02-21,3,0.6325771338071118,0.0,0.36742286619288833,0.36742286619288833,2024-02-02,,0.2666666666666666,-0.03408953285955485
2024-02-22,3,0.6237421993946135,0.0,0.37625780060538655,0.37625780060538655,2024-02-02,,0.2666666666666666,-0.042924467272053124
2024-02-23,3,0.6354689467944239,0.0,0.3645310532055761,0.3645310532055761,2024-02-02,,0.2666666666666666,-0.031197719872242735
2024-02-26,3,0.6236359149209798,0.0,0.3763640850790203,0.3763640850790203,2024-02-02,,0.2666666666666666,-0.043030751745686824
2024-02-27,3,0.6024141857689953,0.0,0.39758581423100464,0.39758581423100464,2024-02-02,,0.2666666666666666,-0.06425248089767133
2024-02-28,3,0.5857314075358482,0.0,0.4142685924641518,0.4142685924641518,2024-02-02,,0.2666666666666666,-0.08093525913081845
2024-02-29,3,0.5991626637709165,0.0,0.40083733622908346,0.40083733622908346,2024-02-02,,0.2666666666666666,-0.06750400289575009
2024-03-04,3,0.5813537208278188,0.0,0.4186462791721813,0.4186462791721813,2024-02-02,,0.2666666666666666,-0.08531294583884785
2024-03-05,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-03-05,cap,0.2666666666666666,0.0
2024-03-06,3,0.6482986790543415,0.0,0.35170132094565876,0.35170132094565876,2024-03-05,,0.2666666666666666,-0.018367987612325165
2024-03-07,3,0.6547212104369007,0.0,0.3452787895630993,0.3452787895630993,2024-03-05,,0.2666666666666666,-0.01194545622976595
2024-03-08,3,0.6579804151198807,0.0,0.3420195848801194,0.3420195848801194,2024-03-05,,0.2666666666666666,-0.008686251546785928
2024-03-11,3,0.6591846309849536,0.0,0.34081536901504633,0.34081536901504633,2024-03-05,,0.2666666666666666,-0.007482035681713017
2024-03-12,3,0.6583408932166486,0.0,0.34165910678335143,0.34165910678335143,2024-03-05,,0.2666666666666666,-0.008325773450018059
2024-03-13,3,0.6535812158969178,0.0,0.3464187841030822,0.3464187841030822,2024-03-05,,0.2666666666666666,-0.013085450769748874
2024-03-14,3,0.6554509529025767,0.0,0.3445490470974233,0.3445490470974233,2024-03-05,,0.2666666666666666,-0.011215713764089918
2024-03-15,3,0.6581002524803842,0.0,0.3418997475196158,0.3418997475196158,2024-03-05,,0.2666666666666666,-0.008566414186282456
2024-03-18,3,0.6561550549728088,0.0,0.34384494502719115,0.34384494502719115,2024-03-05,,0.2666666666666666,-0.010511611693857836
