날짜,PR,TR
2022-09-02,1648.5244589092902,1725.7580387615844
2022-09-05,1631.8708891621548,1708.3242471609362
2022-09-06,1649.918754600638,1727.2176573828003
2022-09-07,1635.6347028389926,1712.2643959856016
2022-09-08,1634.1208952126162,1710.6796662800527
2022-09-13,1705.159077521708,1785.0459964344977
2022-09-14,1663.4781330696599,1741.4122944517628
2022-09-15,1663.6934936378848,1741.6377446899062
2022-09-16,1660.8108620867695,1738.6200614852442
2022-09-19,1678.619826262978,1757.2633778904149
2022-09-20,1663.209775287877,1741.1313640738883
2022-09-21,1642.2694390238119,1719.2099704016398
2022-09-22,1623.9923889897382,1700.0766382568322
2022-09-23,1616.8934903960621,1692.6451553642487
2022-09-26,1563.607596816175,1636.8628109160948
2022-09-27,1561.1695104288744,1634.3104998725191
2022-09-28,1523.1721635126105,1594.5329724370204
2022-09-29,1506.363893397153,1576.937232736186
2022-09-30,1504.1451523309768,1574.6145433698312
2022-10-04,1605.1299174508924,1680.3304575355512
2022-10-05,1622.8037985038204,1698.832362155994
2022-10-06,1653.5780529095307,1731.0483942812841
2022-10-07,1649.0788277836514,1726.3383798879752
2022-10-11,1621.6904133420203,1697.6668147582402
2022-10-12,1648.4445601738603,1725.674396760271
2022-10-13,1625.341881341405,1701.489354496224
2022-10-14,1671.401327084111,1749.706691110064
2022-10-17,1679.3105631863339,1757.986475926181
2022-10-18,1675.1403675467789,1753.6209060923356
2022-10-19,1630.4542402600691,1706.841228078225
2022-10-20,1590.8366856603823,1665.3675860239719
2022-10-21,1596.5076354069834,1671.3042204850008
2022-10-24,1651.61349377657,1728.9917953039342
2022-10-25,1679.6956542351356,1758.3896085394301
2022-10-26,1687.16221912845,1766.2059829443922
2022-10-27,1664.6354684468647,1742.6238511380827
2022-10-28,1583.1720703262613,1657.3438824899486
2022-10-31,1608.3318161972554,1683.6823656440258
2022-11-01,1623.62890321568,1699.6961231281873
2022-11-02,1614.2880091985392,1689.9176070423741
2022-11-03,1599.2142265623102,1674.1376157790182
2022-11-04,1607.8634681013552,1683.192075380469
2022-11-07,1637.059932939209,1713.7563982966622
2022-11-08,1673.0036127015887,1751.3840440118126
2022-11-09,1686.6707289473386,1765.6914663859986
2022-11-10,1660.041274130737,1737.814418235925
2022-11-11,1731.4164395113792,1812.5335191615354
2022-11-14,1717.3783075190674,1797.8376989060343
2022-11-15,1749.4443848167443,1831.40607598952
2022-11-16,1756.1349715530282,1838.4101175624385
2022-11-17,1708.6524535303533,1788.7030375519369
2022-11-18,1721.3402859383946,1801.9852965164923
2022-11-21,1708.9749531030066,1789.040646270446
2022-11-22,1678.5814135802198,1757.2231655686
2022-11-23,1686.8116459628604,1765.838985381559
2022-11-24,1715.1051780306411,1795.4580730129535
2022-11-25,1693.1031206768218,1772.4252164833215
2022-11-28,1667.6226600079663,1745.750993002452
2022-11-29,1708.2896369254684,1788.323222943126
2022-11-30,1721.7758676328426,1802.4412852685361
2022-12-01,1721.1674252870073,1801.8043373216776
2022-12-02,1674.2367214219255,1752.6749240319955
2022-12-05,1669.3019875090108,1747.5089972097774
2022-12-06,1637.918568493277,1714.6552610352715
2022-12-07,1614.4710187310172,1690.1091905946455
2022-12-08,1610.1955997128164,1685.6334676535275
2022-12-09,1660.9011961590256,1738.714627720235
2022-12-12,1637.127952560097,1713.8276046454102
2022-12-13,1647.7068557319433,1724.9021307717458
