ticker,name,fiscal_year,report_nm,rcept_no,rcept_dt,source_url,raw_sha256,raw_bytes,hbm_hits,status,disclosed_at,led_rcept_no,hbm_exposure,judgment_status,verdict,flag_zero_hbm
036540,SFA반도체,2020,사업보고서 (2020.12),20210319000787,20210319,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210319000787,4902837C4787056AC029D436B18B6EDFCA79369C334A52375D298459018AD74C,414135,0,OK,2021-03-19,20210319000787,0.0,FINAL,MATCH,False
036540,SFA반도체,2021,사업보고서 (2021.12),20220318000698,20220318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000698,AC2456AFAA803E028A17387E36B181D9EE8CD9DDB7D4A1C75E150F4076B24ADB,387479,0,OK,2022-03-18,20220318000698,0.0,FINAL,MATCH,False
036540,SFA반도체,2022,사업보고서 (2022.12),20230320000643,20230320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000643,E8C0C26E8DACADADCA101AF23DAA9454197E5BA6C4F8F0B39772724B83800C19,401040,0,OK,2023-03-20,20230320000643,0.0,FINAL,MATCH,False
036540,SFA반도체,2023,사업보고서 (2023.12),20240320000826,20240320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000826,EB6A9972775201892BA02F728C37865B32F282DCCD4A467C3C81AC1174EADDC7,395141,0,OK,2024-03-20,20240320000826,0.0,FINAL,MATCH,False
036540,SFA반도체,2024,사업보고서 (2024.12),20250321000463,20250321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000463,2951525F9B563818AD4D66CC204AAC105CFD7AF5809F98CAB9DA78040D9651C5,408981,0,OK,2025-03-21,20250321000463,0.0,FINAL,MATCH,False
036540,SFA반도체,2025,사업보고서 (2025.12),20260323000826,20260323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000826,5F88C2659D886E792A42C7EDA68DE427E4D316C2FB8010BFD39256DC09D7CB86,449337,0,OK,2026-03-23,20260323000826,0.0,FINAL,MATCH,False
036930,주성엔지니어링,2019,사업보고서 (2019.12),20200330003817,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003817,7815076F5D800FABEBF251316BBD7A4820ED68045E2DB03FFC20C78F70CBC99E,535796,0,OK,2020-03-30,20200330003817,0.0,FINAL,MATCH,False
036930,주성엔지니어링,2020,사업보고서 (2020.12),20210317001221,20210317,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317001221,7B08E7E87B06FBB6B10298B287106BB7A6D6DA5E21FED9218F601E06A1629049,561085,0,OK,2021-03-17,20210317001221,0.0,FINAL,MATCH,False
036930,주성엔지니어링,2021,사업보고서 (2021.12),20220321001122,20220321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001122,836A9F820537EA0C85E4144019475F382711D4B5DC436913A6E23773799D7CBA,595868,0,OK,2022-03-21,20220321001122,0.0,FINAL,MATCH,False
036930,주성엔지니어링,2022,사업보고서 (2022.12),20230321001180,20230321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001180,0AC7C48EDE8417ECDC079633A406A11D2703EDA5F65468CA058A4B910D8FC5C2,568115,0,OK,2023-03-21,20230321001180,0.0,FINAL,MATCH,False
