ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,_주요제품,_핸도버2026bucket
061970,LB세미콘,2020-03-31,2019,반도체 제조업,,,,,,0.621,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2021-03-31,2020,반도체 제조업,,,,,,0.6125,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2022-03-31,2021,반도체 제조업,,,,,,0.6315,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2023-03-31,2022,반도체 제조업,,,,,,0.6374,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2024-03-31,2023,반도체 제조업,,,,,,0.6387,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2025-03-31,2024,반도체 제조업,,,,,,0.6387,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
061970,LB세미콘,2026-03-31,2025,반도체 제조업,,,,,,0.7276,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"골드범핑, 솔더범핑 등",
064290,인텍플러스,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.7894,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.8064,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.8015,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.8024,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.8075,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.8079,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
064290,인텍플러스,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.8473,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",
067310,하나마이크론,2020-03-31,2019,반도체 제조업,,,,,,0.6989,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2021-03-31,2020,반도체 제조업,,,,,,0.7289,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2022-03-31,2021,반도체 제조업,,,,,,0.7208,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2023-03-31,2022,반도체 제조업,,,,,,0.7209,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2024-03-31,2023,반도체 제조업,,,,,,0.72,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2025-03-31,2024,반도체 제조업,,,,,,0.7354,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"반도체패키징,IOT",
067310,하나마이크론,2026-03-31,2025,반도체 제조업,,,,,,0.737,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"반도체패키징,IOT",
086390,유니테스트,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.7526,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.7533,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.7559,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.7571,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.759,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.7611,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
086390,유니테스트,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.7642,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",
089030,테크윙,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.7526,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.7526,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.8408,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.8235,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.8235,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.821,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
089030,테크윙,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.7232,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"반도체테스트핸들러,C.O.K(Change Over Kit)",core
095340,ISC,2020-03-31,2019,기계장비 및 관련 물품 도매업,,,,,,0.5785,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2021-03-31,2020,기계장비 및 관련 물품 도매업,,,,,,0.577,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2022-03-31,2021,기계장비 및 관련 물품 도매업,,,,,,0.6081,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2023-03-31,2022,기계장비 및 관련 물품 도매업,,,,,,0.5806,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2024-03-31,2023,기계장비 및 관련 물품 도매업,,,,,,0.4765,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2025-03-31,2024,기계장비 및 관련 물품 도매업,,,,,,0.4765,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,반도체테스트소켓,
095340,ISC,2026-03-31,2025,기계장비 및 관련 물품 도매업,,,,,,0.4765,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,반도체테스트소켓,
